University or Institution of Higher Education,YouthMappers Chapter,City,Country,lat,long
Texas Tech University,YouthMappers at Texas Tech University,"Lubbock, TX",USA,33.5842591,-101.8782822
The George Washington University,The GWU Humanitarian Mapping Society,"Washington, D.C.",USA,38.8997145,-77.0485992
West Virginia University,Maptime Morgantown,"Morgantown, WV",USA,39.6361396,-79.95593579999999
University of Cape Coast,UCC Geographical Society,Cape Coast,Ghana,5.115533399999999,-1.2908962
University of Pretoria,Centre for Geoinformation Science,Pretoria,South Africa,-25.7545492,28.2314476
Kansas State University,Gamma Theta Upsilon: Beta Psi Chapter,"Manhattan, KS",USA,39.1974437,-96.5847249
University of Central Florida,Geospatial Information Society,"Orlando, FL",USA,28.6024274,-81.2000599
College of William and Mary,All Over the Map! at William and Mary,"Williamsburg, VA",USA,37.271674,-76.71337799999999
George Mason University,Mason Mappers,"Fairfax, VA",USA,38.8315541,-77.3120885
New York University,NYU mHealth Initiative - Mapping Corps,"New York, NY",USA,40.72951339999999,-73.9964609
Clemson University,Clemson Mappers,"Clemson, SC",USA,34.6760942,-82.8364148
Universidad de Panama,Jovenes Mapeadores,Panama City,Panama,8.9830414,-79.5343503
California University of Pennsylvania,CalU PA GIS Club,"California, PA",USA,40.0641103,-79.8842797
Chanco Malawi Youth Mappers,Chanco Malawi YouthMappers,Zomba,Malawi,-15.3765857, 35.3356518
State University of New York at Geneseo,SUNY Geneseo GIS Association,"Geneseo, NY",USA,42.796092,-77.8237029
"Sherubtse College, Royal University of Bhutan",Geographical Society,Kanglung,Bhutan,27.2867114,91.52368779999999
"Tribhuvan University, Institute of Engineering, Pashchimanchal Campus ",Geomatics Engineering Students' Association of Nepal ,Pokhara,Nepal,28.2538926,83.97641039999999
State University of New York at Fredonia,GeoVenturers,"Fredonia, NY",USA,42.4538665,-79.34036329999999
Cornell University,Mapping Society at Cornell University,"Ithaca, NY",USA,42.4534492,-76.4735027
Busitema University ,Good Mappers,Busitema,Uganda,0.5470577,34.0201552
Universidad de La Guajira,Grupo Mesh,Riohacha,Colombia,11.5137141,-72.86936299999999
Khulna University,OpenStreetMap Khulna University,Khulna,Bangladesh,22.8033117,89.5323901
University of Dhaka,OpenstreetMap Dhaka University,Dhaka,Bangladesh,23.7339937,90.39278399999999
University of Nairobi,Geospatial Engineering Students Association,Nairobi,Kenya,-1.2803586,36.8162641
Universidad Nacional de Colombia,Grupo UN,Bogotá D.C.,Colombia,4.6381938,-74.08404639999999
Universidad de los Andes,Cartografos Uniandes,Bogotá D.C.,Colombia,4.6014855,-74.06644570000002
"Uganda Christian Univeristy, Mbale University College ",Mappers for Life ,Mbale,Uganda,1.0752291,34.1753501
Universidad de Antioquia,Geomatica UdeA,Medellin,Colombia,6.266953300000001,-75.5691113
Universidad de San Buenaventura - Medellin,YouthMappers San Buenaventura,Medellín,Colombia,6.254584899999999,-75.5732311
"Federal University of Technology, Akure",Youthmappers at FUTA,Akure,Nigeria,7.3042695,5.137012599999999
Makerere University,Geo YouthMappers,Kampala,Uganda,0.329183,32.5709881
Dedan Kimathi University of Technology ,GDEV,NYERI,Kenya,-0.3955843,36.962167
University of Southern California,SC Mappers,"Los Angeles, CA",USA,34.0223519,-118.285117
Dhaka College,YouthMappers DhakaCollege,Dhaka City,Bangladesh,23.726369,90.4044289
University of South Carolina,Geography Graduate Student Association,"Columbia, SC",USA,33.996112,-81.0274276
Moi University ,Geography Students Association of Moi University ,Eldoret,Kenya,0.5111631,35.2843657
Ahmadu Bello University Zaria,ABU Geomappers,Zaria,Nigeria,11.1516779,7.6558594
Kumi Univeristy ,Kumi University - Ever Last Youth Mappers,Kumi District ,Uganda,1.4727782,33.8638115
Gulu University,CSGU Mappers ,Gulu,Uganda,2.7881375,32.3168716
University of Oregon,Map By Northwest,"Eugene, OR",USA,44.0448302,-123.0726055
Asian University for Women,YouthMappers at AUW ,Chittagong,Bangladesh,22.3581305,91.82384309999999
Politecnico di Milano,PoliMappers,Milan,Italy,45.4781071,9.2272764
Universidad Nacional de Ingenieria,Yeka Street MGA,Managua,Nicaragua,12.131849,-86.2698194
"Fourah Bay College, University of Sierra Leon",Student's Geographical Association - Youth Mappers,Freeetown,Sierra Leone,8.477016299999999,-13.2214053
Far Eastern University - Institute of Technology,"Junior Philippines Computer Society - Far Eastern University,Institute of Technology Chapter",Manila City,Philippines,14.6041612,120.9886066
"University of California, Davis",Mapping Club at UC Davis,"Davis, CA",USA,38.5382322,-121.7617125
General Lansana Conte University,Youth mappers General Lansana Conte University,Conakry,Guinea,9.680726,-13.5819739
Gujarat University,Ccim  at Ahmedabad,Ahmedabad,India,23.03611,72.546635
Central Washington University,Geography Club,"Ellensburg, WA",USA,47.0067549,-120.5360182
University of Vermont,University of Vermont Humanitarian Mapping Club,"Burlington, VT",USA,44.4778528,-73.1964637
Jomo Kenyatta University of Agriculture and Technology,Association of Geomatics Engineering Students,Nairobi,Kenya,-1.2657173,36.75947439999999
University of Liberia,University of Liberia Youth Mappers,"Fendall, Louisiana ",Liberia,6.299137399999999,-10.7950732
Stella Maris Polytechnic,YouthMappers - SMP,Monrovia,Liberia,6.297137299999999,-10.7947464
African Methodist Episcopal University,YouthMapper - AMEU,Monrovia,Liberia,6.3106285,-10.8011504
Cuttington University ,YouthMappers - CU,Gbarnga,Liberia,7.0404482,-9.5538568
Institute of Science and Veterinary Medicine ,Youth Mappers ISSMV DALABA,Dalaba,Guinea,29.63306649999999,-82.35003410000002
Université de N'Zérékoré,YouthMappers à N'zérékoré,N'zérékoré,Guinea,7.732594199999999,-8.8349213
University of Maryland - College Park,Geography Club,"College Park, MD",USA,38.9869183,-76.9425543
University of Ghana,University of Ghana YouthMappers,Legon,Ghana,5.650562,-0.1962244
Centre Universitaire de Recherche et d'Application en Télédétection(CURAT) de l'Université Felix Houphouet Boigny ,YoutheMappers CURAT,Abidjan,Côte d`Ivoire,5.3426737,-3.9879084
University of Mines and Technology,UMaT YouthMappers,Tarkwa,Ghana,5.298484999999999,-2.001271
The University of Zambia,YouthMappers Unza,Lusaka,Zambia,-15.3878901,28.3297333
Insititue d' Enseignement Superieur de Ruhengeri,YouthMappers at INES-Ruhengeri,Musanze,Rwanda,-1.500872,29.6111576
Institution of Crisis Management Studies,Institute of Crisis Management Studies - Youth Mappers ,Kathmandu,Nepal,27.727571,85.341709
University of Dar es Salaam,University of Dar es Salaam YouthMappers ,Dar es Salaam.,Tanzania,-6.7804132,39.20531400000001
Kigali institute of Science and Technology,Rwanda YouthMappers,Kigali,Rwanda,-1.9568693,30.0635843
University of Port Harcourt,UniqueMappersTeam (UMT) Port Harcourt,Port Harcourt,Nigeria,4.9017976,6.9204532
Sacred Heart Junior College,Youth Mappers At Sacred Heart Junior College,San Ignacio Town,Belize,17.1610768,-89.07411119999999
Institute of Rural Development Planning,Youth Mappers Chapter at Institute of Rural Development Planning - Lake Zone Centre,Mwanza,Tanzania,-6.122142699999999,35.7457995
Kenyatta University,Kenyatta University GIS Club,Nairobi,Kenya,-1.181056,36.9272342
Grand Gedeh County Community College,YouthMappers at Grand Gedeh County Community College,Zwedru City,Liberia,6.0639439,-8.118172999999999
Institute of Rural Development Planning - Dodoma,Mipango YouthMappers Chapter – Dodoma,Dodoma,Tanzania,-6.122142699999999,35.7457995
The Citadel,YouthMappers at The Citadel,"Charleston, SC",USA,32.797075,-79.9606739
University of North Texas,UNT Geography Club,"Denton, TX",USA,33.207488,-97.1525862
University of Nigeria - Nsukka,LionMappersTeam (LMT) Nsukka,Nsukka,Nigeria,6.864455299999999,7.408288299999999
Oklahoma State University,Geography Club,"Stillwater, OK",USA,36.1270236,-97.07372219999999
"Heidelberg University, GIScience Research Group",disastermappers heidelberg,Heidelberg,Germany,49.4191402,8.670249199999
Federal School of Surveys,OyoMappersTeam(OMT)Oyo,Oyo,Nigeria,8.1233883,4.225724899999999
University of Exeter,University of Exeter British Red Cross Missing Maps,Exeter,United Kingdom,50.7371369,-3.5351475
University of Nigeria - Enugu,LionMappersTeam (LMT) Enugu ,Enugu,Nigeria,6.4251849,7.5044343
University of Victoria,Society of Geography Students,"Victoria, BC",Canada,48.4634067,-123.3116935
McGill University,Open Mapping Group McGill: A Member of the McGill Undergraduate Geography Society,"Montreal, QC",Canada,45.50478469999999,-73.5771511
Montgomery College,GeoMC,"Rockville, MD",USA,39.0973684,-77.15773519999999
Uganda Pentecostal University,HiTech Youth Mappers,Fortportal,Uganda,0.6620325,30.2662364
Ardhi University,ARU Mapper,Dar es Salaam,Tanzania,-6.7661679,39.2154139
University of Warwick,University of Warwick Resilience Mapping Society,Coventry,United Kingdom,52.3792525,-1.5614704
Mbarara University of Science and Technology,MUST Street Mappers,Mbarara ,Uganda,-0.6167245,30.656788
Eastern University,YouthMappers at Eastern University,Dhaka,Bangladesh,23.7424105,90.3805867
Universidad de Puerto Rico – Rio Piedras,UPR YouthMappers,San Juan,Puerto Rico,18.4027888,-66.0498047
Jahangirnagar University,YouthMappers at IRS,Dhaka,Bangladesh,23.8814479,90.26753769999999
Monroe Community College,MCC Mapping Corps,Rochester,USA,43.1011599,-77.6107636
"Universidad de Costa Rica,",YouthMappers de Universidad de Costa Rica,San José,Costa Rica,9.936995099999999,-84.0510292
Miami University,"
Geography and Planning Society","Oxford, OH",USA,39.5105334,-84.73087679999999
"Universidad Nacional Autónoma de Honduras, Honduras",PumaGis Hn,Tegucigalpa M.D.C.,Honduras,14.0850246,-87.1659731
University of Wyoming,Gamma Theta Upsilon/Geography Club,"Laramie, WY",USA,41.3148754,-105.5665744
University of Redlands,URSpatial Geo-Thinkers,"Redlands, CA",USA,34.0630404,-117.1632426
Rajshahi University of Engineering & Technology,YouthMappers at RUET,Rajshahi,Bangladesh,24.3635683,88.6283773
University of Twente,Student Association Board,Enschede,Netherlands,52.2394004,6.8508722
Karatina University,Nature Club Karatina University,Karatina,Kenya,-0.481416,37.1279097
Universidad Distrital Francisco Jose de Caldas ,"YouthMappers at Bogota,Colombia",Bogotá D.C.,Colombia,4.6281349,-74.0653932
busitema university,blah,bla,bl,.5453,34.02
federal university of technology - akure,blah, blah, blah, 7.73043,5.1317
kumi university,blah,blah,blalh,1.4728,33.8638
uganda christian university - mbale university college, blah,blah, blah,.3565,32.7408
